paper_id,title,authors,year,venue,abstract,url,decision,reason
9d9e8bb078bf,A Review of Tools and Techniques for Optimization of Workload Mapping and Scheduling in Heterogeneous HPC System,"AK Sharma, J Kunkel",2025.0,arXiv preprint arXiv:2505.11244,"mapping and scheduling optimization in heterogeneous HPC systems. Following a classification   tion is broadly applicable to heterogeneous HPC workload scheduling, highlighting the",https://arxiv.org/abs/2505.11244,related_survey,survey paper - use as reference
099847ab7dd4,Workload scheduling on heterogeneous devices,"H Khetawat, F Mueller",2024.0,ISC High Performance 2024 Research …,"same CPU) or avoiding interference by having co-scheduled applications utilize disjoint  accelerating devices (eg, one using GPU and another using FPGAs) on a heterogeneous HPC",https://ieeexplore.ieee.org/abstract/document/10528933/,exclude,no optimization method
ce451fab0201,Evaluating Large Language Models for Workload Mapping and Scheduling in Heterogeneous HPC Systems,"AK Sharma, J Kunkel",2025.0,arXiv preprint arXiv:2511.11612,"description of a heterogeneous HPC system, including nodes and scheduling in heterogeneous  HPC systems using only  workload scheduling in heterogeneous HPC environments.",https://arxiv.org/abs/2511.11612,exclude,no optimization method
0d98b6b529c4,Machine learning approaches for optimizing high-performance computing scheduling: a comprehensive survey and analysis,"K Adimora, SR Gundla, H Sun",2025.0,Cluster Computing,"This survey provides a comprehensive overview of applying machine learning (ML) to high-performance  computing (HPC) scheduling, addressing the growing demand for efficient",https://link.springer.com/article/10.1007/s10586-025-05521-8,related_survey,survey paper - use as reference
b4c535993330,Workflow-Driven Modeling for the Compute Continuum: An Optimization Approach to Automated System and Workload Scheduling,"AK Sharma, C Boehme, P Gelß, R Yahyapour",2025.0,arXiv preprint arXiv …,The defined system and workload models enable analysis of workload mapping and  scheduling within heterogeneous HPC environments. Tasks in the queue request specific,https://arxiv.org/abs/2505.12184,include,"obj=False, wl=True"
e9830fef323d,Optimizing Heterogeneous High-Performance Computing Resource Allocation for Optimal Performance in Advanced Seismic Imaging Algorithms,"A Aldarwish, S Abulleif",2025.0,SPE Middle East Oil and Gas Show and …,This section presents the core resource allocation strategy developed to optimize workload  scheduling in heterogeneous HPC environments supporting seismic imaging workflows. The,https://onepetro.org/SPEMEOS/proceedings-abstract/25MEOS/25MEOS/789782,include,"obj=False, wl=True"
18b9a0b3695a,"Evolving High-Performance Computing Data Centers with Kubernetes, Performance Analysis, and Dynamic Workload Placement Based on Machine Learning …","V Dakić, M Kovač, J Slovinac",2024.0,Electronics,where we were not happy with the workload scheduling of the custom Kubernetes scheduler.  For  technology in specifics of heterogeneous HPC environments. Multiple routes exist for,https://www.mdpi.com/2079-9292/13/13/2651,include,"obj=False, wl=True"
5d746ce2ecb4,Implementation of the CPU/GPU hybrid parallel method of characteristics neutron transport calculation using the heterogeneous cluster with dynamic workload …,"P Song, Z Zhang, Q Zhang, L Liang, Q Zhao",2020.0,Annals of Nuclear Energy,"In recent years, graphics processing units (GPUs) have been adopted in many High-Performance  Computing (HPC) systems due to their massive computational power and superior",https://www.sciencedirect.com/science/article/pii/S0306454919304529,exclude,no scheduling/mapping focus
c6e6df6c093d,Analyzing GPU Utilization in HPC Workloads: Insights from Large-Scale Systems,"E Sencan, D Kulkarni, A Coskun, K Konate",2025.0,Practice and Experience in …,"Although our focus is on Perlmutter, the methodologies and observations generalize to other  heterogeneous HPC environments seeking to optimize GPU utilization, job throughput, and",https://dl.acm.org/doi/abs/10.1145/3708035.3736010,exclude,no scheduling/mapping focus
defe028cd4cd,HEAPS: A Novel Energy-Based Configurable HPC Scheduler,"E Stafford, L Cruz, JL Bosque",2024.0,International Conference on Parallel …,"Based on the above assumptions, this paper proposes a new workload scheduling  approach aimed at reducing energy consumption in heterogeneous HPC systems. The",https://link.springer.com/chapter/10.1007/978-3-031-85700-3_5,exclude,no optimization method
156ab59502c3,"Performance, portability, productivity, and security in HPC cloud: a systematic literature review","M Kumar, G Kaur, PS Rana",2025.0,The Journal of Supercomputing,"Current research is addressing these challenges through advanced workload scheduling,   of dynamic memory allocation, especially in heterogeneous HPC systems. In contrast to static",https://link.springer.com/article/10.1007/s11227-025-07685-x,exclude,no optimization method
407a9b218028,Efficient inter-device task scheduling schemes for multi-device co-processing of data-parallel kernels on heterogeneous systems,"L Wan, W Zheng, X Yuan",2021.0,IEEE Access,"Rychkov, “Dynamic load balancing of parallel computational iterative routines on highly  heterogeneous HPC platforms,” Parallel Process. Lett., vol. 21, no.",https://ieeexplore.ieee.org/abstract/document/9406583/,exclude,no optimization method
8db3ede14a75,DRL-MOSHRS: A Deep Reinforcement Learning Approach for Multi-Objective Scheduling in Heterogeneous HPC Systems,"Y Yang, L Xiao, T Zhou, C Yang, X Liu",2025.0,2025 IEEE 11th …,Modern HPC systems with heterogeneous compute nodes (CPU-GPU combinations) offer  enhanced processing capabilities but introduce complex resource orchestration challenges.,https://www.computer.org/csdl/proceedings-article/hpsc/2025/966300a025/27HvuMTsjSg,maybe,"obj=False, wl=False"
024502bb3404,Optimal task partitioning to minimize failure in heterogeneous computational platform,"DK Narayana, STS Babu",2025.0,International Journal of Electrical and …,of workload scheduling techniques plays a critical role in achieving enhanced performance  on heterogeneous HPC  of limitations of existing workload scheduling methods. In section 3,https://www.academia.edu/download/120310525/96_35698_IJECE_12_Faizah.pdf,include,"obj=False, wl=True"
7d9952c08411,Machine learning and dynamic parameters-based system architecture for automatic workload scheduling in heterogenous high-performance computing,V Dakić,2025.0,nan,"Heterogeneous HPC can also employ different C ARM, and RISC -V. Integrating  In  summary, linear regression models have s workload scheduling, especially in workload plac of",https://dr.nsk.hr/object/fer:13461,include,"obj=False, wl=True"
